,FIPS,CountyState,TimeFromStart,Predicted_Cases,Cases,Date,split
2017164,10001,"Delaware, Kent",655,282.0,223.0,2021-12-15,test
2017165,10003,"Delaware, New Castle",655,600.0,285.0,2021-12-15,test
2017166,10005,"Delaware, Sussex",655,206.0,139.0,2021-12-15,test
2017167,1001,"Alabama, Autauga",655,12.0,4.0,2021-12-15,test
2017168,1003,"Alabama, Baldwin",655,22.0,15.0,2021-12-15,test
2017169,1005,"Alabama, Barbour",655,3.0,1.0,2021-12-15,test
2017170,1007,"Alabama, Bibb",655,3.0,3.0,2021-12-15,test
2017171,1009,"Alabama, Blount",655,14.0,26.0,2021-12-15,test
2017172,1011,"Alabama, Bullock",655,2.0,0.0,2021-12-15,test
2017173,1013,"Alabama, Butler",655,5.0,1.0,2021-12-15,test
2017174,1015,"Alabama, Calhoun",655,15.0,15.0,2021-12-15,test
2017175,1017,"Alabama, Chambers",655,8.0,3.0,2021-12-15,test
2017176,1019,"Alabama, Cherokee",655,10.0,0.0,2021-12-15,test
2017177,1021,"Alabama, Chilton",655,13.0,3.0,2021-12-15,test
2017178,1023,"Alabama, Choctaw",655,2.0,0.0,2021-12-15,test
2017179,1025,"Alabama, Clarke",655,2.0,0.0,2021-12-15,test
2017180,1027,"Alabama, Clay",655,2.0,1.0,2021-12-15,test
2017181,1029,"Alabama, Cleburne",655,3.0,2.0,2021-12-15,test
2017182,1031,"Alabama, Coffee",655,6.0,0.0,2021-12-15,test
2017183,1033,"Alabama, Colbert",655,10.0,11.0,2021-12-15,test
2017184,1035,"Alabama, Conecuh",655,1.0,1.0,2021-12-15,test
2017185,1037,"Alabama, Coosa",655,4.0,2.0,2021-12-15,test
2017186,1039,"Alabama, Covington",655,7.0,0.0,2021-12-15,test
2017187,1041,"Alabama, Crenshaw",655,2.0,1.0,2021-12-15,test
2017188,1043,"Alabama, Cullman",655,29.0,31.0,2021-12-15,test
2017189,1045,"Alabama, Dale",655,11.0,9.0,2021-12-15,test
2017190,1047,"Alabama, Dallas",655,4.0,3.0,2021-12-15,test
2017191,1049,"Alabama, DeKalb",655,16.0,15.0,2021-12-15,test
2017192,1051,"Alabama, Elmore",655,19.0,8.0,2021-12-15,test
2017193,1053,"Alabama, Escambia",655,2.0,2.0,2021-12-15,test
2017194,1055,"Alabama, Etowah",655,19.0,6.0,2021-12-15,test
2017195,1057,"Alabama, Fayette",655,3.0,2.0,2021-12-15,test
2017196,1059,"Alabama, Franklin",655,8.0,8.0,2021-12-15,test
2017197,1061,"Alabama, Geneva",655,6.0,4.0,2021-12-15,test
2017198,1063,"Alabama, Greene",655,1.0,1.0,2021-12-15,test
2017199,1065,"Alabama, Hale",655,4.0,2.0,2021-12-15,test
2017200,1067,"Alabama, Henry",655,5.0,2.0,2021-12-15,test
2017201,1069,"Alabama, Houston",655,17.0,22.0,2021-12-15,test
2017202,1071,"Alabama, Jackson",655,14.0,11.0,2021-12-15,test
2017203,1073,"Alabama, Jefferson",655,163.0,79.0,2021-12-15,test
2017204,1075,"Alabama, Lamar",655,3.0,2.0,2021-12-15,test
2017205,1077,"Alabama, Lauderdale",655,27.0,12.0,2021-12-15,test
2017206,1079,"Alabama, Lawrence",655,7.0,3.0,2021-12-15,test
2017207,1081,"Alabama, Lee",655,37.0,29.0,2021-12-15,test
2017208,1083,"Alabama, Limestone",655,17.0,9.0,2021-12-15,test
2017209,1085,"Alabama, Lowndes",655,1.0,0.0,2021-12-15,test
2017210,1087,"Alabama, Macon",655,4.0,3.0,2021-12-15,test
2017211,1089,"Alabama, Madison",655,84.0,73.0,2021-12-15,test
2017212,1091,"Alabama, Marengo",655,1.0,1.0,2021-12-15,test
2017213,1093,"Alabama, Marion",655,3.0,6.0,2021-12-15,test
2017214,1095,"Alabama, Marshall",655,20.0,12.0,2021-12-15,test
2017215,1097,"Alabama, Mobile",655,47.0,32.0,2021-12-15,test
2017216,1099,"Alabama, Monroe",655,2.0,0.0,2021-12-15,test
2017217,11001,"District of Columbia, District of Columbia",655,277.0,327.0,2021-12-15,test
2017218,1101,"Alabama, Montgomery",655,47.0,27.0,2021-12-15,test
2017219,1103,"Alabama, Morgan",655,33.0,29.0,2021-12-15,test
2017220,1105,"Alabama, Perry",655,0.0,0.0,2021-12-15,test
2017221,1107,"Alabama, Pickens",655,3.0,5.0,2021-12-15,test
2017222,1109,"Alabama, Pike",655,7.0,1.0,2021-12-15,test
2017223,1111,"Alabama, Randolph",655,7.0,1.0,2021-12-15,test
2017224,1113,"Alabama, Russell",655,10.0,4.0,2021-12-15,test
2017225,1115,"Alabama, St. Clair",655,23.0,24.0,2021-12-15,test
2017226,1117,"Alabama, Shelby",655,50.0,19.0,2021-12-15,test
2017227,1119,"Alabama, Sumter",655,2.0,0.0,2021-12-15,test
2017228,1121,"Alabama, Talladega",655,15.0,9.0,2021-12-15,test
2017229,1123,"Alabama, Tallapoosa",655,10.0,17.0,2021-12-15,test
2017230,1125,"Alabama, Tuscaloosa",655,41.0,23.0,2021-12-15,test
2017231,1127,"Alabama, Walker",655,20.0,18.0,2021-12-15,test
2017232,1129,"Alabama, Washington",655,2.0,0.0,2021-12-15,test
