,Unnamed: 0,FIPS,CountyState,TimeFromStart,Predicted_Cases,Cases,Date,split,county
0,2017164,10001,"Delaware, Kent",655,282.0,223.0,2021-12-15,test,Kent
1,2017165,10003,"Delaware, New Castle",655,600.0,285.0,2021-12-15,test,New Castle
2,2017166,10005,"Delaware, Sussex",655,206.0,139.0,2021-12-15,test,Sussex
3,2017167,1001,"Alabama, Autauga",655,12.0,4.0,2021-12-15,test,Autauga
4,2017168,1003,"Alabama, Baldwin",655,22.0,15.0,2021-12-15,test,Baldwin
5,2017169,1005,"Alabama, Barbour",655,3.0,1.0,2021-12-15,test,Barbour
6,2017170,1007,"Alabama, Bibb",655,3.0,3.0,2021-12-15,test,Bibb
7,2017171,1009,"Alabama, Blount",655,14.0,26.0,2021-12-15,test,Blount
8,2017172,1011,"Alabama, Bullock",655,2.0,0.0,2021-12-15,test,Bullock
9,2017173,1013,"Alabama, Butler",655,5.0,1.0,2021-12-15,test,Butler
10,2017174,1015,"Alabama, Calhoun",655,15.0,15.0,2021-12-15,test,Calhoun
11,2017175,1017,"Alabama, Chambers",655,8.0,3.0,2021-12-15,test,Chambers
12,2017176,1019,"Alabama, Cherokee",655,10.0,0.0,2021-12-15,test,Cherokee
13,2017177,1021,"Alabama, Chilton",655,13.0,3.0,2021-12-15,test,Chilton
14,2017178,1023,"Alabama, Choctaw",655,2.0,0.0,2021-12-15,test,Choctaw
15,2017179,1025,"Alabama, Clarke",655,2.0,0.0,2021-12-15,test,Clarke
16,2017180,1027,"Alabama, Clay",655,2.0,1.0,2021-12-15,test,Clay
17,2017181,1029,"Alabama, Cleburne",655,3.0,2.0,2021-12-15,test,Cleburne
18,2017182,1031,"Alabama, Coffee",655,6.0,0.0,2021-12-15,test,Coffee
19,2017183,1033,"Alabama, Colbert",655,10.0,11.0,2021-12-15,test,Colbert
20,2017184,1035,"Alabama, Conecuh",655,1.0,1.0,2021-12-15,test,Conecuh
21,2017185,1037,"Alabama, Coosa",655,4.0,2.0,2021-12-15,test,Coosa
22,2017186,1039,"Alabama, Covington",655,7.0,0.0,2021-12-15,test,Covington
23,2017187,1041,"Alabama, Crenshaw",655,2.0,1.0,2021-12-15,test,Crenshaw
24,2017188,1043,"Alabama, Cullman",655,29.0,31.0,2021-12-15,test,Cullman
25,2017189,1045,"Alabama, Dale",655,11.0,9.0,2021-12-15,test,Dale
26,2017190,1047,"Alabama, Dallas",655,4.0,3.0,2021-12-15,test,Dallas
27,2017191,1049,"Alabama, DeKalb",655,16.0,15.0,2021-12-15,test,DeKalb
28,2017192,1051,"Alabama, Elmore",655,19.0,8.0,2021-12-15,test,Elmore
29,2017193,1053,"Alabama, Escambia",655,2.0,2.0,2021-12-15,test,Escambia
30,2017194,1055,"Alabama, Etowah",655,19.0,6.0,2021-12-15,test,Etowah
31,2017195,1057,"Alabama, Fayette",655,3.0,2.0,2021-12-15,test,Fayette
32,2017196,1059,"Alabama, Franklin",655,8.0,8.0,2021-12-15,test,Franklin
33,2017197,1061,"Alabama, Geneva",655,6.0,4.0,2021-12-15,test,Geneva
34,2017198,1063,"Alabama, Greene",655,1.0,1.0,2021-12-15,test,Greene
35,2017199,1065,"Alabama, Hale",655,4.0,2.0,2021-12-15,test,Hale
36,2017200,1067,"Alabama, Henry",655,5.0,2.0,2021-12-15,test,Henry
37,2017201,1069,"Alabama, Houston",655,17.0,22.0,2021-12-15,test,Houston
38,2017202,1071,"Alabama, Jackson",655,14.0,11.0,2021-12-15,test,Jackson
39,2017203,1073,"Alabama, Jefferson",655,163.0,79.0,2021-12-15,test,Jefferson
40,2017204,1075,"Alabama, Lamar",655,3.0,2.0,2021-12-15,test,Lamar
41,2017205,1077,"Alabama, Lauderdale",655,27.0,12.0,2021-12-15,test,Lauderdale
42,2017206,1079,"Alabama, Lawrence",655,7.0,3.0,2021-12-15,test,Lawrence
43,2017207,1081,"Alabama, Lee",655,37.0,29.0,2021-12-15,test,Lee
44,2017208,1083,"Alabama, Limestone",655,17.0,9.0,2021-12-15,test,Limestone
45,2017209,1085,"Alabama, Lowndes",655,1.0,0.0,2021-12-15,test,Lowndes
46,2017210,1087,"Alabama, Macon",655,4.0,3.0,2021-12-15,test,Macon
47,2017211,1089,"Alabama, Madison",655,84.0,73.0,2021-12-15,test,Madison
48,2017212,1091,"Alabama, Marengo",655,1.0,1.0,2021-12-15,test,Marengo
49,2017213,1093,"Alabama, Marion",655,3.0,6.0,2021-12-15,test,Marion
50,2017214,1095,"Alabama, Marshall",655,20.0,12.0,2021-12-15,test,Marshall
51,2017215,1097,"Alabama, Mobile",655,47.0,32.0,2021-12-15,test,Mobile
52,2017216,1099,"Alabama, Monroe",655,2.0,0.0,2021-12-15,test,Monroe
53,2017217,11001,"District of Columbia, District of Columbia",655,277.0,327.0,2021-12-15,test,District of Columbia
54,2017218,1101,"Alabama, Montgomery",655,47.0,27.0,2021-12-15,test,Montgomery
55,2017219,1103,"Alabama, Morgan",655,33.0,29.0,2021-12-15,test,Morgan
56,2017220,1105,"Alabama, Perry",655,0.0,0.0,2021-12-15,test,Perry
57,2017221,1107,"Alabama, Pickens",655,3.0,5.0,2021-12-15,test,Pickens
58,2017222,1109,"Alabama, Pike",655,7.0,1.0,2021-12-15,test,Pike
59,2017223,1111,"Alabama, Randolph",655,7.0,1.0,2021-12-15,test,Randolph
60,2017224,1113,"Alabama, Russell",655,10.0,4.0,2021-12-15,test,Russell
61,2017225,1115,"Alabama, St. Clair",655,23.0,24.0,2021-12-15,test,St. Clair
62,2017226,1117,"Alabama, Shelby",655,50.0,19.0,2021-12-15,test,Shelby
63,2017227,1119,"Alabama, Sumter",655,2.0,0.0,2021-12-15,test,Sumter
64,2017228,1121,"Alabama, Talladega",655,15.0,9.0,2021-12-15,test,Talladega
65,2017229,1123,"Alabama, Tallapoosa",655,10.0,17.0,2021-12-15,test,Tallapoosa
66,2017230,1125,"Alabama, Tuscaloosa",655,41.0,23.0,2021-12-15,test,Tuscaloosa
67,2017231,1127,"Alabama, Walker",655,20.0,18.0,2021-12-15,test,Walker
68,2017232,1129,"Alabama, Washington",655,2.0,0.0,2021-12-15,test,Washington
69,2017233,1131,"Alabama, Wilcox",655,2.0,0.0,2021-12-15,test,Wilcox
70,2017234,1133,"Alabama, Winston",655,5.0,2.0,2021-12-15,test,Winston
71,2017235,12001,"Florida, Alachua",655,12.0,0.0,2021-12-15,test,Alachua
72,2017236,12003,"Florida, Baker",655,1.0,0.0,2021-12-15,test,Baker
73,2017237,12005,"Florida, Bay",655,5.0,0.0,2021-12-15,test,Bay
74,2017238,12007,"Florida, Bradford",655,1.0,0.0,2021-12-15,test,Bradford
75,2017239,12009,"Florida, Brevard",655,17.0,0.0,2021-12-15,test,Brevard
76,2017240,12011,"Florida, Broward",655,194.0,0.0,2021-12-15,test,Broward
77,2017241,12013,"Florida, Calhoun",655,0.0,0.0,2021-12-15,test,Calhoun
78,2017242,12015,"Florida, Charlotte",655,6.0,0.0,2021-12-15,test,Charlotte
79,2017243,12017,"Florida, Citrus",655,3.0,0.0,2021-12-15,test,Citrus
80,2017244,12019,"Florida, Clay",655,9.0,0.0,2021-12-15,test,Clay
81,2017245,12021,"Florida, Collier",655,23.0,0.0,2021-12-15,test,Collier
82,2017246,12023,"Florida, Columbia",655,2.0,0.0,2021-12-15,test,Columbia
83,2017247,12027,"Florida, DeSoto",655,1.0,0.0,2021-12-15,test,DeSoto
84,2017248,12029,"Florida, Dixie",655,0.0,0.0,2021-12-15,test,Dixie
85,2017249,12031,"Florida, Duval",655,23.0,0.0,2021-12-15,test,Duval
86,2017250,12033,"Florida, Escambia",655,7.0,0.0,2021-12-15,test,Escambia
87,2017251,12035,"Florida, Flagler",655,4.0,0.0,2021-12-15,test,Flagler
